Player,Team,ACS,KD_ratio,ADR,HS%,event,Region
MiniBoo,TH,223.9,1.06,145.6,31.0,VCT 2025: EMEA Stage 2,EMEA
alexiiik,NAVI,210.5,1.08,136.7,26.0,VCT 2025: EMEA Stage 2,EMEA
ComeBack,M8,219.6,1.06,140.2,33.0,VCT 2025: EMEA Stage 2,EMEA
MAGNUM,BBL,197.5,1.01,127.1,30.0,VCT 2025: EMEA Stage 2,EMEA
Shao,NAVI,181.2,0.97,118.4,32.0,VCT 2025: EMEA Stage 2,EMEA
Flickless,GX,192.2,0.93,124.7,25.0,VCT 2025: EMEA Stage 2,EMEA
baddyG,MKOI,192.0,0.95,122.0,24.0,VCT 2025: EMEA Stage 2,EMEA
benjyfishy,TH,199.1,1.02,127.7,37.0,VCT 2025: EMEA Stage 2,EMEA
penny,APK,200.9,1.02,133.6,21.0,VCT 2025: EMEA Stage 2,EMEA
Elite,KC,189.5,1.0,127.5,41.0,VCT 2025: EMEA Stage 2,EMEA
kamo,TL,211.5,1.03,137.6,26.0,VCT 2025: EMEA Stage 2,EMEA
LewN,BBL,215.0,1.03,141.1,30.0,VCT 2025: EMEA Stage 2,EMEA
MONSTEERR,MKOI,196.4,0.98,132.4,28.0,VCT 2025: EMEA Stage 2,EMEA
Veqaj,M8,195.6,0.95,136.2,27.0,VCT 2025: EMEA Stage 2,EMEA
Jamppi,BBL,186.4,0.95,122.0,27.0,VCT 2025: EMEA Stage 2,EMEA
kamyk,M8,193.6,0.98,123.1,34.0,VCT 2025: EMEA Stage 2,EMEA
qRaxs,FUT,181.6,0.81,114.7,36.0,VCT 2025: EMEA Stage 2,EMEA
Cloud,GX,180.8,0.91,123.8,30.0,VCT 2025: EMEA Stage 2,EMEA
sociablEE,BBL,197.9,0.95,130.5,31.0,VCT 2025: EMEA Stage 2,EMEA
MOLSI,APK,187.4,0.82,127.9,27.0,VCT 2025: EMEA Stage 2,EMEA
KovaQ,VIT,198.6,0.97,123.8,33.0,VCT 2025: EMEA Stage 2,EMEA
OLIZERA,APK,194.5,0.93,127.1,28.0,VCT 2025: EMEA Stage 2,EMEA
Boo,TH,153.9,0.81,99.3,30.0,VCT 2025: EMEA Stage 2,EMEA
xeus,FUT,210.3,0.91,132.0,29.0,VCT 2025: EMEA Stage 2,EMEA
Kicks,VIT,166.3,0.79,109.7,29.0,VCT 2025: EMEA Stage 2,EMEA
UNFAKE,VIT,186.1,0.89,120.6,38.0,VCT 2025: EMEA Stage 2,EMEA
flyuh,MKOI,185.9,0.85,127.6,26.0,VCT 2025: EMEA Stage 2,EMEA
MrFaliN,FUT,168.6,0.77,111.4,24.0,VCT 2025: EMEA Stage 2,EMEA
batujnax,APK,178.5,0.82,117.7,28.0,VCT 2025: EMEA Stage 2,EMEA
Filu,MKOI,199.7,0.84,131.7,27.0,VCT 2025: EMEA Stage 2,EMEA
Proxh,M8,161.7,0.78,107.0,25.0,VCT 2025: EMEA Stage 2,EMEA
nataNk,MKOI,172.5,0.83,117.4,27.0,VCT 2025: EMEA Stage 2,EMEA
saadhak,KC,164.1,0.76,109.9,30.0,VCT 2025: EMEA Stage 2,EMEA
AvovA,APK,146.7,0.73,97.7,31.0,VCT 2025: EMEA Stage 2,EMEA
pyrolll,KC,146.8,0.77,100.6,36.0,VCT 2025: EMEA Stage 2,EMEA
Boaster,FNC,141.8,0.74,94.3,30.0,VCT 2025: EMEA Stage 2,EMEA
ANGE1,NAVI,155.7,0.73,104.8,31.0,VCT 2025: EMEA Stage 2,EMEA
Meiy,DFM,266.2,1.35,167.2,29.0,VCT 2025: Pacific Stage 2,Pacific
something,PRX,230.4,1.38,149.3,26.0,VCT 2025: Pacific Stage 2,Pacific
Jinggg,PRX,237.1,1.19,154.3,24.0,VCT 2025: Pacific Stage 2,Pacific
HYUNMIN,DRX,242.8,1.15,157.6,28.0,VCT 2025: Pacific Stage 2,Pacific
Jemkin,RRQ,227.6,1.24,141.9,35.0,VCT 2025: Pacific Stage 2,Pacific
DH,T1,196.8,1.07,127.7,38.0,VCT 2025: Pacific Stage 2,Pacific
primmie,TLN,216.7,1.19,136.5,39.0,VCT 2025: Pacific Stage 2,Pacific
d4v41,PRX,199.2,1.16,137.4,25.0,VCT 2025: Pacific Stage 2,Pacific
Dep,ZETA,218.8,1.07,141.8,33.0,VCT 2025: Pacific Stage 2,Pacific
Karon,GEN,197.5,1.05,124.5,35.0,VCT 2025: Pacific Stage 2,Pacific
f0rsakeN,PRX,213.7,1.12,139.7,31.0,VCT 2025: Pacific Stage 2,Pacific
xffero,RRQ,190.9,1.11,125.6,29.0,VCT 2025: Pacific Stage 2,Pacific
dos9,BME,204.6,1.06,126.0,29.0,VCT 2025: Pacific Stage 2,Pacific
Dambi,NS,228.9,1.09,141.2,24.0,VCT 2025: Pacific Stage 2,Pacific
Flashback,DRX,203.6,1.16,134.8,33.0,VCT 2025: Pacific Stage 2,Pacific
Monyet,RRQ,220.5,1.08,141.3,28.0,VCT 2025: Pacific Stage 2,Pacific
MaKo,DRX,197.9,1.03,128.4,27.0,VCT 2025: Pacific Stage 2,Pacific
SugarZ3ro,ZETA,204.4,0.99,132.2,31.0,VCT 2025: Pacific Stage 2,Pacific
Ash,GEN,185.3,1.1,121.1,29.0,VCT 2025: Pacific Stage 2,Pacific
Persia,NS,184.2,1.04,116.4,29.0,VCT 2025: Pacific Stage 2,Pacific
Meteor,T1,222.0,1.06,141.6,29.0,VCT 2025: Pacific Stage 2,Pacific
UdoTan,GE,234.5,1.1,152.5,22.0,VCT 2025: Pacific Stage 2,Pacific
gyen,DFM,190.1,1.03,123.6,34.0,VCT 2025: Pacific Stage 2,Pacific
invy,TS,203.9,0.94,136.5,30.0,VCT 2025: Pacific Stage 2,Pacific
Kr1stal,GE,198.3,0.94,130.4,28.0,VCT 2025: Pacific Stage 2,Pacific
Killua,TLN,199.9,1.05,133.7,41.0,VCT 2025: Pacific Stage 2,Pacific
Francis,NS,199.3,0.99,129.4,26.0,VCT 2025: Pacific Stage 2,Pacific
thyy,TLN,222.4,1.07,140.4,30.0,VCT 2025: Pacific Stage 2,Pacific
